Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в  чеке;Ценность клиента
Москва;57302038;8743715;0.15258994802244205;24219;79176;19036;2456;3;459
Самара;4815517;784363;0.16288240701881024;1572;5104;1228;3214;3;639
Сочи;3069709;639712;0.20839499770173656;739;2642;539;4393;4;1187
Коломна (Московская область район);1558614;334276;0.21447003555723226;495;1551;355;3271;3;942
Новомосковск;1309095;271036;0.20704074188657048;453;1459;338;3022;3;802
Волгоград;2960060;590206;0.19938987723221827;793;2234;644;3963;3;916
Санкт-Петербург;19230484;3135169;0.16303120607884855;6848;22168;5839;2943;3;537
Нижний Новгород;8431239;1460238;0.17319376191328464;2845;9558;2213;3159;3;660
Воронеж;5488630;1051191;0.1915215636688937;1677;5033;1329;3543;3;791
Екатеринбург;6314876;1059687;0.16780804563700064;1841;6019;1516;3807;3;699
Ростов-на-Дону;5155750;1087802;0.21098812006012704;1382;4014;1093;3891;3;995
Архангельск;1305653;276463;0.21174308947323675;296;995;246;4650;3;1124
Дзержинский (Московская область район);169390;28374;0.16750693665505637;47;143;38;3675;3;747
Дубна (Московская область район);815838;135459;0.16603663962698476;283;999;221;3002;4;613
Жуковский (Московская область район);2291185;384957;0.16801655038768148;853;2924;581;2791;3;663
Иваново;1497816;300680;0.20074561895453114;389;1051;337;3984;3;892
Ижевск;1715277;299438;0.17457122085820542;551;1322;445;3253;2;673
Колпино;665756;130106;0.1954259518502274;275;924;207;2589;3;629
Королев (Московская область район);1269588;194717;0.1533702271918134;499;1954;361;2842;4;539
Курск;1900629;382887;0.20145278221052082;593;1474;480;3342;2;798
Мытищи (Мытищинский район);1543228;233052;0.15101592246900652;727;2371;572;2221;3;407
Орёл;1538716;283249;0.1840814029359544;479;1516;393;3431;3;721
Оренбург;1672317;347812;0.20798209908767298;415;1332;347;4170;3;1002
Орехово-Зуево (Московская область район);1270278;267765;0.21079244070982886;459;1290;371;2954;3;722
Орск;825654;174865;0.21178968429874984;222;475;184;3812;2;950
Павловский Посад (Павлово-Посадский район);918602;157370;0.17131467164234349;380;1327;250;2487;3;629
Подольск (Московская область район);3286532;608290;0.18508567693848713;1225;4414;887;2773;4;686
Реутов (Московская область район);1128118;176000;0.15601204838500937;486;1577;384;2387;3;458
Рязань;3303729;646241;0.195609567249614;1068;3277;828;3189;3;780
Саратов;4008303;844173;0.21060608442026463;1044;2901;800;3986;3;1055
Сергиев Посад (Сергиево-Посадский район);1420317;287782;0.20261814792049943;506;1809;380;2893;4;757
Смоленск;2238039;427169;0.1908675407354385;689;1927;536;3384;3;797
Сургут;3677979;845621;0.22991458080647006;645;2218;489;5942;3;1729
Таганрог;772265;147257;0.19068195502839053;264;754;214;3058;3;688
Тула;3970427;787153;0.19825399132133648;1269;4226;970;3272;3;811
Уфа;2020276;349049;0.1727729280553746;592;2075;482;3688;4;724
Красногорск (Красногорский район);878376;158023;0.1799035948158875;318;1210;280;2925;4;564
Благовещенск;1591208;248259;0.15601920050678478;354;1996;222;4600;6;1118
Люберцы (Люберецкий район);2249226;290989;0.12937294873881058;880;3326;590;2652;4;493
Внуково (Волоколамский район);145509;22104;0.1519081293940581;56;201;47;2677;4;470
Красноярск;2430608;493709;0.2031216057875231;618;2526;501;4074;4;985
Петрозаводск;1088818;222950;0.2047633305107006;266;823;218;4231;3;1023
Иркутск;2714794;510669;0.1881059852055073;600;2176;463;4694;4;1103
Кемерово;1329120;267161;0.20100592873480197;385;1110;302;3679;3;885
Краснодар;4905017;953794;0.19445274093851256;1195;4269;960;4365;4;994
Челябинск;3414421;590651;0.1729871623915153;1145;3224;907;3119;3;651
Новосибирск;3414813;649185;0.19010850667371829;928;3029;793;3863;3;819
Калуга;5039068;1253827;0.24882121058894224;1187;3347;908;4413;3;1381
Пермь;3591933;612031;0.17039042766109502;1239;3809;1024;3028;3;598
