ВремяОкругл;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
00:00:00;10716698;1697084;0.15835885269884437;3934;13423;3811;2850;3;445
01:00:00;388665;57536;0.14803494011552365;140;422;138;3038;3;417
02:00:00;11205706;1776796;0.1585617184673594;4245;15863;4015;2771;4;443
03:00:00;2790342;462831;0.16586891499321588;1063;4361;1027;2758;4;451
04:00:00;1176499;195206;0.16592109300560393;416;1863;408;3100;4;478
05:00:00;706219;123984;0.1755602723800974;223;880;222;3288;4;558
06:00:00;1103641;200904;0.18203745602057192;369;1165;355;3136;3;566
07:00:00;2662744;407550;0.15305639595845488;894;2753;873;3115;3;467
08:00:00;3371370;584476;0.17336453726526604;1223;3498;1190;2895;3;491
09:00:00;5674107;945929;0.16670975714768863;2009;5610;1962;2954;3;482
10:00:00;9438015;1834051;0.19432592552565345;3004;8589;2925;3275;3;627
11:00:00;11806963;2302906;0.19504643149978534;3879;11477;3769;3163;3;611
14:00:00;18429822;3452255;0.18731895511524746;5857;17909;5645;3296;3;612
15:00:00;18929313;3541740;0.18710346223341545;5721;17499;5542;3472;3;639
16:00:00;16444748;3109354;0.18907884754451695;5284;16633;5124;3249;3;607
17:00:00;18489645;3330165;0.18010973169035965;6002;18940;5821;3265;3;572
18:00:00;15664630;2950113;0.18832956795021652;5029;16218;4864;3259;3;607
19:00:00;18349943;3573876;0.19476223986090857;5738;18157;5576;3352;3;641
20:00:00;15913180;3154731;0.19824642214818158;4830;15043;4689;3462;3;673
21:00:00;10693377;1950719;0.18242310170117448;3481;11081;3406;3214;3;573
22:00:00;15792744;2702715;0.1711365042072486;5488;17757;5295;3005;3;510
23:00:00;14411980;2438041;0.16916766467896846;5156;17229;4965;2946;3;491
12:00:00;16604815;3019222;0.18182810227033544;5481;16269;5303;3169;3;569
13:00:00;15790350;3024559;0.19154477259845412;4902;15052;4759;3380;3;636
