Группа2;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
ТЕКСТИЛЬ, ТРИКОТАЖ;58635687;14934355;0.2546973654457225;31483;98802;24706;3705;3;604
КОСМЕТИКА/ГИГИЕНА;12594414;2015036;0.15999442292432184;17078;50335;14162;3764;3;142
КРУПНОГАБАРИТНЫЙ ТОВАР;127699272;34468953;0.2699228622070766;19124;22620;17537;7936;1;1965
ДЕТСКОЕ ПИТАНИЕ;36239144;2054982;0.05670614074107269;18193;87486;13292;3900;5;155
ПОДГУЗНИКИ;63511190;1524580;0.024004903702796312;31274;45055;23810;3545;1;64
ОБУВЬ;18189346;3820227;0.21002552813058809;11895;19093;10108;3352;2;378
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;15684943;2465054;0.15716053287538245;13832;26899;12219;3954;2;202
ИГРУШКИ;60307193;10169130;0.16862217414098513;37901;85264;33082;2969;2;307
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;8367642;2485083;0.2969872516056495;7569;27350;6885;3310;4;361
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;4015770;313502;0.07806771802169946;2336;7206;1927;3366;3;163
ЖЕНСКИЕ ШТУЧКИ;156470;63504;0.4058541573464562;646;1919;596;3625;3;107
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;317484;74470;0.23456300160008065;391;632;364;3512;2;205
СОПУТСТВУЮЩИЕ ТОВАРЫ;208900;69122;0.3308855911919579;591;843;570;3711;1;121
