Группа3;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
ДЕТСКИЕ КОЛГОТКИ И НОСКИ;533437;165832;0.31087457375472644;1871;5087;1756;2875;3;94
СРЕДСТВА ГИГИЕНЫ;1123442;145731;0.12971831211580126;3647;6068;3265;3562;2;45
ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ;716173;266887;0.3726571652380081;1102;1327;1080;3888;1;247
ДЕТСКОЕ БЕЛЬЁ;1254685;327798;0.2612592005164643;2211;3864;2073;2839;2;158
ВЕРХНЯЯ ДЕТСКАЯ ОДЕЖДА;13173018;2976061;0.22592096966693587;4433;5272;4103;3977;1;725
ОДЕЖДА ДЛЯ НОВОРОЖДЕННЫХ (0-2 лет);5336351;1323318;0.24798181378998496;5548;17392;4797;2781;3;276
ЗАМЕНИТЕЛИ МОЛОКА;11239714;419723;0.03734285409753309;4439;4940;3418;3807;1;123
БАКАЛЕЯ;221682;26499;0.11953609224023601;807;1122;743;3221;1;36
ДЕТСКАЯ ОДЕЖДА (2-6 лет);4174142;949655;0.22750903059838404;4307;10769;3745;2540;3;254
ПОДГУЗНИКИ;39764145;675118;0.01697805900265176;19859;27044;15542;2950;1;43
СОПУТСТВУЮЩИЕ ТОВАРЫ ДЛЯ ОБУВИ;123439;45703;0.37024765268675214;316;376;310;1740;1;147
СРЕДСТВА БЫТОВОЙ ХИМИИ;1400983;218312;0.15582772952990864;2414;4803;2231;2940;2;98
ДЕТСКАЯ ОДЕЖДА (7-16 лет);2783834;732238;0.2630322066617478;2432;5391;2156;2628;2;340
СОСКИ/ПУСТЫШКИ;992495;171763;0.17306182902684647;2510;3747;2382;3368;1;72
ЭЛЕКТРОПРИБОРЫ;2742102;364723;0.13300854599865358;611;642;606;6381;1;602
ПРЕДМЕТЫ ПО УХОДУ ЗА НОВОРОЖДЕННЫМИ;687533;109731;0.15960106642153904;1816;2619;1759;3795;1;62
ИГРУШКИ ДЛЯ РАЗВИТИЯ МАЛЫШЕЙ;11181010;2350928;0.2102607903937122;9340;17656;8613;2717;2;273
