Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
Москва;150023398;24788899;0.16523355243560076;48591;212704;36645;3524;4;676
Самара;5578011;956642;0.17150235092759766;1952;6237;1444;3180;3;662
Сочи;3667697;773834;0.2109863491995113;899;3331;623;4618;4;1242
Коломна (Московская область район);1736013;366225;0.21095752163146245;560;1872;390;3473;3;939
Новомосковск;1547180;324566;0.20977908194263112;562;1955;383;3172;3;847
Санкт-Петербург;23817813;4127469;0.17329336660758904;8602;27843;7061;3097;3;585
Волгоград;3403938;679816;0.1997145658939734;965;3066;743;4163;3;915
Белгород;2676936;512551;0.1914692768149855;834;2573;617;3666;3;831
Нижний Новгород;10163587;1849728;0.18199558876211716;3610;11623;2635;3091;3;702
Воронеж;6701749;1344092;0.20055839154823613;2101;6039;1572;3533;3;855
Екатеринбург;7459548;1297125;0.17388788167862182;2178;6885;1758;3849;3;738
Ростов-на-Дону;6170805;1286865;0.20854086298303057;1728;5234;1295;4063;3;994
Чита;1995993;442240;0.22156390328022194;582;1897;382;3609;3;1158
Архангельск;1477882;321376;0.21745714475174607;348;1142;289;4510;3;1112
Дзержинский (Московская область район);318618;56792;0.17824479470714147;90;300;71;3972;3;800
Дубна (Московская область район);1011058;180744;0.17876719238658909;354;1285;265;3510;4;682
Жуковский (Московская область район);2865464;478720;0.16706543861657308;1053;4055;665;3132;4;720
Иваново;2021842;351018;0.17361297272487167;463;1349;387;4515;3;907
Ижевск;1969120;344042;0.1747186560494028;665;1666;509;3327;3;676
Клин (Клинский район);1281600;303814;0.2370583645443196;389;1243;278;3844;3;1093
Колпино;768103;144571;0.18821824677159182;314;1079;228;2782;3;634
Королев (Московская область район);1354933;204034;0.15058604373795606;518;2077;368;2961;4;554
Красногорск (Красногорский район);2313763;428308;0.1851131684619384;606;3261;493;4503;5;869
Курск;2251138;460918;0.20474888700737137;788;2063;577;3236;3;799
Люберцы (Люберецкий район);4392674;661146;0.15051105545278343;1420;6580;890;3741;5;743
Мытищи (Мытищинский район);2497904;419486;0.167935196869055;984;3798;760;2948;4;552
Орёл;1946475;381748;0.1961227346870625;618;1985;468;3868;3;816
Оренбург;2028180;439257;0.21657693104162354;527;1833;413;4427;3;1064
Орехово-Зуево (Московская область район);1548435;326064;0.21057648528998635;547;1673;420;3214;3;776
Орск;1035671;222003;0.21435668276894881;293;856;221;4129;3;1005
Павловский Посад (Павлово-Посадский район);1435862;260167;0.18119220370759864;463;1780;285;3826;4;913
Подольск (Московская область район);3666206;691391;0.1885848749361056;1376;5030;974;2973;4;710
Реутов (Московская область район);1805033;299646;0.16600582925630722;642;2453;501;3076;4;598
Рязань;3835033;774699;0.20200582367870107;1329;3959;958;3187;3;809
Саратов;4636128;966255;0.20841853374195018;1286;3682;938;4085;3;1030
Сергиев Посад (Сергиево-Посадский район);1683098;341544;0.20292579517057235;602;2179;434;3064;4;787
Смоленск;2818120;580523;0.20599655089208407;936;2607;661;3378;3;878
Сургут;4243426;971640;0.2289753609465559;810;2919;583;5875;4;1667
Таганрог;912970;172586;0.1890379749608421;322;1041;248;3321;3;696
Тула;4605397;914072;0.19847843736381468;1527;5190;1109;3385;3;824
Ульяновск;2568394;506961;0.19738443556557134;966;2648;694;3059;3;730
Уфа;2363977;425058;0.17980631791256851;709;2452;566;3638;3;751
Благовещенск;1943863;305723;0.157276001446604;515;2804;306;4052;5;999
Томск;2343687;428042;0.18263616259338383;758;2210;561;3538;3;763
Внуково (Волоколамский район);234574;43880;0.18706250479592793;78;302;64;3823;4;686
Красноярск;3506135;754048;0.21506530695480922;891;3559;653;4060;4;1155
Петрозаводск;1276966;273913;0.21450297032184099;353;1067;263;3862;3;1041
Иркутск;3756948;745576;0.1984525737380448;910;3168;627;4496;3;1189
Кемерово;1601206;313858;0.19601350482074137;493;1482;360;3763;3;872
Краснокаменск;372269;56838;0.15267991694178135;185;770;91;2163;4;625
Омск;4994583;1019102;0.2040414585161564;1394;3829;1036;3998;3;984
Краснодар;6244009;1268580;0.20316754828508415;1586;5588;1210;4304;4;1048
Челябинск;4123561;747875;0.18136629966186993;1412;4182;1086;3356;3;689
Новосибирск;4577713;889032;0.19420876756581287;1360;4148;1088;3845;3;817
Раменское (Раменский район);350551;57567;0.16421861583621214;113;526;85;3622;5;677
Калуга;5433238;1352076;0.24885270993098407;1345;3789;998;4338;3;1355
Пермь;4154287;726867;0.1749679307183158;1495;4702;1191;3077;3;610
Тюмень;4589933;984060;0.21439528637999727;1269;3269;959;4032;3;1026
Ногинск (Ногинский район);1229836;259662;0.21113546846896658;465;1814;325;3087;4;799
Пенза;2229678;450536;0.20206325756454518;713;1927;525;3578;3;858
Щелково (Щелковский район);254489;54162;0.21282648758885453;83;292;71;3345;4;763
Белоозерский (Воскресенский район);28916;5154;0.17824042052842717;8;18;5;3914;2;1031
Железнодорожный (Московская область район);1961009;383991;0.1958129717915624;637;2562;488;3559;4;787
Казань;4368610;705015;0.16138199564621242;1549;4180;1177;3188;3;599
Барнаул;1740586;239744;0.13773752058214878;549;1719;407;3668;3;589
Нижневартовск;1752788;385970;0.22020347012873207;442;1501;331;4388;3;1166
