Кластер 1;Кластер 2;Кластер 3;Кластер 4
2700;997;5166;17000
4068;5720;1345;3325
2137;2999;313;14420
2306;799;5500;605
2198;1096;2350;9797
8925;1481;514;62950
7703;457;1099;7604
2397;4599;1365;4679
2089;5270;1579;1800
1685;2298;321;19753
6997;6174;2269;23990
8651;678;940;9351
2046;599;1265;9205
8733;1204;4630;23939
2215;363;2015;4679
2634;599;888;4620
4020;559;1418;950
4194;3772;4200;1140
1469;9321;2069;8870
2090;2198;534;1770
3527;17494;1230;4600
6523;799;159;5690
5097;5507;1399;1590
6253;1699;3153;11520
11032;11493;3566;1790
4566;1099;1769;46558
2736;2098;1219;21775
238;2910;740;3622
1199;1399;1330;8260
1726;2893;1285;5675
5569;4334;2877;2290
1585;4999;1679;2130
759;3165;3000;11190
2882;1999;4433;1389
9601;16554;929;4640
3976;1976;670;13879
5662;423;988;15499
5065;2359;1180;2427
2098;9327;749;19720
3147;1106;1609;11733
5103;1999;2257;42247
1799;1631;344;4590
1978;1168;2499;27300
4296;79;1539;3630
750;10697;890;11400
1450;3166;188;10952
2349;9273;1339;6972
3360;2319;937;13447
7274;999;960;11700
1461;767;5969;4080
1998;973;1399;26072
2298;3298;903;5130
4184;1378;909;3950
386;2957;1820;13480
3946;2700;1310;1805
2117;3141;649;31131
4654;1520;199;17099
4068;41470;6270;5359
4187;3899;892;24537
1039;1252;1081;1890
7794;1399;2151;3990
1155;706;599;8455
1209;1539;1235;4990
1487;10728;599;3499
1570;1098;959;48740
1199;5199;1160;2090
1298;1499;4674;10059
400;1461;485;1805
1656;2065;2358;5359
2176;1166;1559;2730
992;5320;632;7081
990;5067;3927;3458
4289;2399;382;3325
7540;1155;640;1805
645;1638;1136;999
6080;4719;2240;2799
140;2060;3165;5259
2040;1598;520;27550
599;1654;1534;2490
6616;698;1949;2850
1049;10920;2199;2740
841;1486;2000;990
3669;299;1441;2470
7005;1099;2131;3790
359;19481;1199;5200
913;219;360;10989
1130;4408;2309;3420
1450;6934;2185;1190
10984;1714;349;2130
2617;1799;819;9750
1318;1299;1900;18900
2048;3109;1049;28727
2738;1156;649;999
8346;2755;439;3550
3056;1298;1855;25539
1225;499;2299;12000
1120;323;450;5124
2199;3582;980;11790
1686;3004;1383;24600
446;4999;2133;54194
2098;2003;568;5222
7692;4017;2999;4874
814;1860;135;22800
3147;999;6567;7529
1190;1213;1670;1800
1350;9945;1992;2340
2199;799;1390;34330
1199;3644;1273;9409
2590;1199;5399;37669
1162;2199;925;11210
1587;2438;1175;9730
1396;2651;239;897
9998;399;5204;1950
2350;1027;1990;23750
4845;1799;260;7290
1563;7297;5480;2800
5208;6898;430;2727
642;3981;3399;2755
2270;9534;549;4491
276;2397;6458;4535
653;1269;5491;1999
2500;299;1230;5130
1362;1120;1200;5980
680;1206;149;28590
2287;830;89;45251
10910;799;1398;17500
4041;499;1578;5681
1260;13581;449;11000
2434;6683;1155;2800
2726;2401;1815;9990
3075;3899;2190;2436
2095;528;1659;37145
1011;569;509;4408
1180;834;480;10893
999;1170;2211;220
632;9491;298;27300
2212;1226;909;20600
2997;259;3839;1610
