Кластер 1;Кластер 2;Кластер 3;Кластер 4
376;262;-705;4446
877;1095;-186;2199
407;700;21;3114
-177;99;2271;219
207;274;106.5;2701
345;231;48;9150
912.5;118;63;1962
547;426;65;1116
153;1097;450;655
386;1339;29;2576
-164.6666667;2827;429;7540
602.3333333;148;325;1330
343;143;361;1302
-590;229;1860;7353
221;-84;572;1116
-489;191;-355;43962
282;65;178;458
117.5;291;1650;584
63;1409;344;3161
969;1463;85;510
433;2582;125;805
269;319;59;2515
-547;915.5;-274;340
836;509;943;2217
403.5;-406.3333333;1152;376
227.6666667;127;24;12832
80.66666667;149.5;342;2840
55;650;374;774
34;427;140;2636
33;670;367;1596
-1001;433.5;822;940
187;641;84;613
47;344.5;298.5;1514
446;511;185;43
315.5;1734.5;221;1140
-711.5;229;70;4499
-270;-152;145;3723
249;150;89;799
308;902.5;214;19720
462;186;460;5056
107;1062;205;13163.5
70;367;114;690
116;191;569;3834
286.5;24;306;958
750;2036;114.5;3522
-604;843;54;0
951;2035;68;645.5
435;155;296;4227
438.5;93;102;3526
-142;189;-137;1613
38;104;-274;7414
203;166;279;2089
321;357;40;691
36;731;225;2498
281;450;468;696
265;5.666666667;244;6352
368;342;66;3679
335.5;1593.375;570;1278
148;560;309;1258.5
97;245;271;470
322;199;533;690
107;59.5;214;4955
276;153.5;285;1845
157;473.8;99;700
306;164;322;16528
34;1852;332;1034
-408;365;-1320;1339
46;484;113;873
58;341;399;1278
97.5;260;541;545
307;603;182;2336
124;1289;726;576
302;336;62;286
1291;-49;183;755
58;239.5;177;200
-368;1269;232;933
-4;581;-1229;1143
19;316;55;9429
76;203;72;206
732;90;133.5;1101
144;1894.5;329;640
140;433;640;338
532;56;418;1198
527;180;222;2060
93;1660.5;390;900
47;34;160;2539
220;203.75;786;1751
-604;3201;616;300
701.75;473;-183;1180
94;343;276;2250
55;283;230;4101
108;-93.25;86;736.3333333
135.6666667;224;244;91
256.75;198;122;621
-284.5;99;526;7257
160;181;708;760
102;-232;62;1784
-408;310;280;2790
516;-381;519;5650
61;2462;706;6764
338;-250.5;162;2093
487;467.5;2051;810
58;410;37;4109
207;54;298;802.5
108;178;478;500
70;-117.6;181;1688
-408;95;275;5260
34;498;437;2225
70;149;212;5817
165;419;264;11210
-629;295;250;1293.5
221;473;100;321
554.5;5;1797;546
-452;179;-9;7515
233;331;32;3062
176;936;367;333
-198;924;129;544.5
58;480.5;2128;661
124;284.7142857;154;991
79;135;1647;1511
112;297;806;666
116;109;165;2602
291;188;120;1500
38;18;36;11717
93.5;110;5;16078
-149;161;64;3500
110;49;592;1201
189;1136;129;2540
834;512.5;106;754
106.5;731;165;1991
282;739;198;406
107.5;71;569;8895
90;154;141;460
18;73;59;3081
133;210;567.5;68
62;1203;71;6770
196;263;40;5544
399;52;168;466
415.5;654.6666667;412.6666667;43963
-407;766;212;5337.5
151;2618;152;5504.5
328;149;92;4318
761.5;409;1500;523
41;114;-55;7642
-378;487;32;1074
207;567.2;675;4186
630;-29;205;5563
53.5;-272;22;1697
-850;40;73;560
-362;300;280;1490
187;120;462;11533
19;1109;68;1478
-564;314;23;1892
-1187;802;210;1457
295;2150;132;719
393.5;137;129;771
58;134;72;757
302.6666667;400;625;940
230.5;274;583;2939
360;297;104;4211
25;204;988;2718
-300;542;848;6669
861.3333333;2374;109;3679
302;314.6666667;1407;1935
285.4;294;211;3533
549;650;278;1327
502.25;260;6;640
500;289;554;375
138;152;-104;2136
98;692;2362;117
1005;181;-171;15572
538;-158;514.5;594
488;375;121;431
131.5;155;181;1020
28;466.5;220;1260
34;828;196.5;43975
299;172;3150;3450
-436;311;551;874
164.6666667;479;982;320
429.5;55;11;4724
186;738;795;3083
-803.5;450;64;400
16;239;-2;2335
158.5;-56;472;6514.5
120;-200.6666667;33;661
180;531.5;585;301
68;894;361;664
540;539;190;805
-65;285;439;1788.5
221;2056;160;400
-472;88.5;154;3200
600;162.25;142;52
2;439;-742;6255
336;1205;491;200
395;742;193;1292
65;1079;106;3617
486;393;431;398
-76;39;348;1126
75;265;211;1708
50;234.875;-121.5;1997
-781;252;330;5627.5
1452;1112;692;4030
167;79;78;3700
105;249;290;352
62;329;-520;1745
58;3985;-165;8803
164.6666667;516;348;1353
212;182;1283;3799
-195;494;342;958
-431;38;723;395
204.5;753;862;662
139;106;125;2477
32;676;43;2506
172;580;60;1116
170;3640;982;805
144;897;328;8803
133;449;311;2839
-427;614;12;2650
625.1428571;566;144;1091
51;1200;177;2920
-754;109;183;921.5
145;300;669;2332
82;2716;470;2911
-263;722;809;666
100.5;333;221;625
382;466;685;1352.5
-310;344;137;950
41;179;-291;628
78;195;153.5;2024
124;199;-29;9653
207;135;221;131
172;652;82;2495
117;561;-1602;451
95;604;802;7638
207;306.5;298;61
221;168;837;1048
163.5;490;-371;418
129.3333333;623.5;132;4472
-376;293;544;1090
872;307;2999;1050
527.5;208;83;610
69;541;129;600
165;190.8;301;1325
216;2199;559;424
141;1285;2034;720
140;364;848.5;2638
119;141.5;312;1116
133;104;82;588
36.5;81;279;565
59;130;288;6573
201.8;34;-704;280
-718;760;757;823
-285;873;348;391
113;509;484;3292.666667
68;290;241;721
360;643;69;1257
118;82;-110;1890
-93;1034;67;547
161;175;496;856
-585;300;27;778
152;517;-420;2699
38;1573;97;1374
115;99;-6;1043
152;749.75;-210;1595
64;708.6666667;349;905
108.5;3083;276.5;2578.5
221.5;-452;276;5259
120;15;240;524
185.6;99;178;870
-68.66666667;206;1599;862
128.75;292;130;321
293.3333333;198;1744;1290
35;888;244;3100
