Кластер 1;Кластер 2;Кластер 3;Кластер 4;;;;;
2799;1096;5215;17149;;;;;
5216;3198;1345;3374;;;;;
2236;3098;362;14569;;;;;
2405;898;5649;704;;;;;
2297;1195;1324;9797;;;;;
4586;1630;613;63099;;;;;
3950;556;1198;7703;;;;;
2496;4698;1464;4679;;;;;
2089;5369;1678;1949;;;;;
1813;4205;420;19852;;;;;
2431;6273;2318;23990;;;;;
3083;1026;1039;9450;;;;;
2195;748;1364;9304;;;;;
4490;1303;4779;24038;;;;;
2364;676;2164;4778;;;;;
2783;698;987;2459;;;;;
4119;658;808;1049;;;;;
2196;2038;20649;1239;;;;;
858;4910;2168;8870;;;;;
2909;2297;633;1869;;;;;
3626;19492;1329;4600;;;;;
3360;898;258;5789;;;;;
2648;2972;1498;1689;;;;;
6482;1798;3252;11619;;;;;
6448;3930;3665;994;;;;;
1621;1198;1868;46657;;;;;
1061;1148;1318;21874;;;;;
337;3009;839;3721;;;;;
1298;1498;1429;8359;;;;;
1825;2992;1384;5774;;;;;
5668;2266;2976;2439;;;;;
1684;5098;1778;2229;;;;;
858;2131;1649;11190;;;;;
2981;2098;4532;1488;;;;;
4900;8576;1078;4739;;;;;
2087;1132;819;16539;;;;;
1986;522;1087;15499;;;;;
2632;1428;1279;2526;;;;;
2197;4762;848;19720;;;;;
3246;1255;1708;11733;;;;;
5202;2148;2356;21124;;;;;
1898;1730;443;4590;;;;;
1088;1267;2598;13650;;;;;
2247;178;1638;3630;;;;;
849;15794;544;11400;;;;;
1549;3672;579;11051;;;;;
2448;11177;1438;3585;;;;;
3459;1230;1036;13546;;;;;
3736;1148;1059;11799;;;;;
1560;866;6068;4179;;;;;
2097;586;1548;26072;;;;;
2397;3397;1002;5229;;;;;
2191;1477;1058;4049;;;;;
1064;3056;1919;13480;;;;;
4045;2799;1409;1904;;;;;
2216;1146;748;31230;;;;;
4753;1619;298;17198;;;;;
2133;5322;6369;5458;;;;;
2163;3998;991;12368;;;;;
1138;1252;1180;1989;;;;;
4046;1498;2250;3990;;;;;
1254;576;698;8455;;;;;
1308;868;1334;5089;;;;;
1636;2245;698;3598;;;;;
1719;1357;1058;48740;;;;;
1348;5348;1259;2189;;;;;
1397;1598;4773;10208;;;;;
510;1510;584;1954;;;;;
1805;2164;2457;5458;;;;;
1187;1315;1658;2829;;;;;
1091;2759;731;7081;;;;;
1089;5166;1348;3557;;;;;
4295;2548;481;3424;;;;;
7589;2162;739;1805;;;;;
694;918;1285;1048;;;;;
6129;4768;2849;2848;;;;;
140;2109;3370;5308;;;;;
2139;848;619;27550;;;;;
648;1803;1633;2539;;;;;
6665;747;1074;2850;;;;;
1098;5659;2298;2789;;;;;
890;1535;2099;1089;;;;;
3718;348;1540;2569;;;;;
3552;1148;1164;3839;;;;;
477;10062;1248;5249;;;;;
1012;318;459;10989;;;;;
1279;1238;2408;3519;;;;;
1549;7033;2284;1190;;;;;
2845;1813;448;2229;;;;;
2716;1898;2767;9849;;;;;
1417;1398;1999;18999;;;;;
2048;1046;1148;9675;;;;;
1435;1765;798;1098;;;;;
2195;2854;538;3649;;;;;
1627;1816;1954;25638;;;;;
1324;598;2448;12099;;;;;
1219;422;549;10113;;;;;
2298;3681;1079;11790;;;;;
1785;3103;1532;24699;;;;;
545;5098;2232;27196;;;;;
2197;1150;667;5271;;;;;
7791;2108;3148;4973;;;;;
913;1626;234;22800;;;;;
3246;1098;2288;3864;;;;;
1289;2798;1769;1899;;;;;
1499;2088;2091;2469;;;;;
