Средняя доля категорий и основные показатели;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кластер;КоличествоЧеков;Среднийчек;СреднееЧислоТоваровЧека;Выручка;КоличествоТоваров;СредняяМаржа; ПроцентОтмен (в процентах) ;Доля выкупленных;ДЕТСКОЕ ПИТАНИЕ;ЖЕНСКИЕ ШТУЧКИ;ИГРУШКИ;КАНЦТОВАРЫ, КНИГИ, ДИСКИ;КОСМЕТИКА/ГИГИЕНА;КРУПНОГАБАРИТНЫЙ ТОВАР;ОБУВЬ;ПОДГУЗНИКИ;СОПУТСТВУЮЩИЕ ТОВАРЫ;ТЕКСТИЛЬ, ТРИКОТАЖ;ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;ТОВАРЫ ДЛЯ ЖИВОТНЫХ;ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;ИГРУШКИ,1;ИНОЕ;КГТ;ОДЕЖДА;ППКП;Курьерская;Магазины;Самовывоз;DPD;Pick point;Безналичная;Наличная;МО;Москва;Регионы
1 кластер; 1,12 ;8 814 ₽; 1,45 ;9 558 ₽; 1,71 ; 2 759,44 ; 1,18 ; 0,98 ;0%;0%;2%;0%;1%;93%;0%;1%;0%;2%;0%;0%;1%;0%;0%;1%;0%;0%;0%;99%;0%;0%;0%;99%;1%;10%;13%;76%
2 кластер; 1,30 ;2 354 ₽; 2,66 ;2 900 ₽; 3,60 ; 335,68 ; 1,44 ; 0,95 ;1%;0%;3%;6%;2%;1%;12%;29%;0%;34%;0%;3%;10%;0%;0%;0%;1%;1%;1%;98%;1%;0%;0%;99%;1%;12%;28%;60%
3 кластер; 1,56 ;2 863 ₽; 6,00 ;4 366 ₽; 9,06 ; 258,44 ; 1,72 ; 0,95 ;48%;1%;3%;1%;31%;1%;0%;9%;0%;2%;0%;0%;4%;0%;0%;0%;0%;6%;1%;98%;1%;0%;0%;98%;2%;13%;35%;51%
4 кластер; 1,15 ;2 020 ₽; 2,62 ;2 175 ₽; 3,17 ; 298,13 ; 1,22 ; 0,97 ;0%;0%;91%;3%;1%;1%;0%;1%;0%;1%;0%;0%;1%;1%;0%;0%;0%;0%;0%;99%;0%;0%;0%;99%;1%;12%;32%;56%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Средне откление ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кластер;КоличествоЧеков;Среднийчек;СреднееЧислоТоваровЧека;Выручка;КоличествоТоваров;СредняяМаржа; ПроцентОтмен (в процентах) ;Доля выкупленных;ДЕТСКОЕ ПИТАНИЕ;ЖЕНСКИЕ ШТУЧКИ;ИГРУШКИ;КАНЦТОВАРЫ, КНИГИ, ДИСКИ;КОСМЕТИКА/ГИГИЕНА;КРУПНОГАБАРИТНЫЙ ТОВАР;ОБУВЬ;ПОДГУЗНИКИ;СОПУТСТВУЮЩИЕ ТОВАРЫ;ТЕКСТИЛЬ, ТРИКОТАЖ;ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;ТОВАРЫ ДЛЯ ЖИВОТНЫХ;ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;ИГРУШКИ,1;ИНОЕ;КГТ;ОДЕЖДА;ППКП;Курьерская;Магазины;Самовывоз;DPD;Pick point;Безналичная;Наличная;МО;Москва;Регионы
1 кластер;-80%;149%;-89%;144%;-83%;150%;-84%;95%;-50%;-54%;-52%;-92%;-52%;150%;-53%;-68%;-62%;-50%;-76%;-51%;-68%;-73%;-77%;150%;-66%;-55%;-86%;83%;-57%;112%;-75%;84%;-84%;-120%;-143%;142%
2 кластер;10%;-52%;-26%;-56%;-24%;-47%;20%;-96%;-49%;-48%;-49%;131%;-45%;-50%;150%;144%;-41%;150%;145%;150%;140%;-49%;126%;-53%;145%;-39%;13%;-36%;108%;-110%;51%;-36%;36%;1%;13%;-11%
3 кластер;138%;-36%;144%;-12%;145%;-53%;133%;-76%;150%;150%;-49%;-62%;150%;-50%;-50%;-10%;-46%;-46%;-15%;-39%;4%;-24%;34%;-43%;-12%;150%;136%;-125%;57%;52%;115%;-125%;125%;124%;84%;-89%
4 кластер;-68%;-62%;-29%;-77%;-38%;-50%;-69%;77%;-51%;-49%;150%;23%;-53%;-50%;-48%;-66%;149%;-54%;-54%;-59%;-76%;147%;-83%;-55%;-67%;-56%;-63%;78%;-108%;-53%;-92%;77%;-77%;-5%;47%;-41%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Размер класстера;размер;В процентах;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;кластер 1;9 372;14%;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;кластер 2;29 936;45%;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;кластер 3;10 080;15%;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;кластер 4;16 540;25%;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Всего;65 928;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;По каждому сегменту;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
